JSON Name,Kernel Name,Kernel Time,Total Time,M,N,K,m,n,k
2x120x40w0-0-30,main$async_dispatch_0_matmul_transpose_b_2x120x40_f64,5772,307918,2,120,40,0,0,30
2x120x40w0-0-0,main$async_dispatch_0_matmul_transpose_b_2x120x40_f64,2963,305963,2,120,40,0,0,0
2x120x40w0-0-0,main$async_dispatch_0_matmul_transpose_b_2x120x40_f64,2963,305963,2,120,40,0,0,0
2x120x20w0-0-20,main$async_dispatch_0_matmul_transpose_b_2x120x20_f64,2580,304063,2,120,20,0,0,20
2x120x20w0-0-0,main$async_dispatch_0_matmul_transpose_b_2x120x20_f64,2580,304052,2,120,20,0,0,0
2x120x20w0-0-60,main$async_dispatch_0_matmul_transpose_b_2x120x20_f64,4519,306206,2,120,20,0,0,60
2x120x20w0-0-0,main$async_dispatch_0_matmul_transpose_b_2x120x20_f64,2580,304052,2,120,20,0,0,0
2x120x40w0-0-60,main$async_dispatch_0_matmul_transpose_b_2x120x40_f64,4662,307173,2,120,40,0,0,60
2x120x40w0-0-0,main$async_dispatch_0_matmul_transpose_b_2x120x40_f64,2963,305963,2,120,40,0,0,0
